# GL1L2  propL1h= 0.00000 propL1J= 1.00000  lambdaPhi= 0.000400000  lambdaPhij= 0.00200000  ungauged  ModAdamMax  learningRate= 0.00600000  betaV= 0.999000  betaM= 0.900000  eps= 1.00000e-06  batchSize=7007  miniBatchSize= 103  stepsPerEpoch= 68.0000
# learningRate.coolingMethod= (1+at)^b  stepsPerEpoch= 1.000000  warmupEpochs= 100.000000  maxLR= 0.00600000  maxLREpochs= 1736.00  constPerEpoch= 0.100000  power= -0.500000
# initial_h: to reproduce observed amino acid frequencies at each site.
# sigma_initial_J for Gaussian: 0.001
# MCMC Kernel: GibbsWithMHStep
# nIndependentMC = 7007  miniBatchSize = 103  for MCMC 
# initial configuration: observed sequence data
# nSamples for each MC run = 1
# nUnits=48  nInitialIterationsPerUnit=0  everyNIterationsPerUnit=10
# initialT = 1.00000  finalT = 1.00000  annealingRate = 0.990000; annealingRate may be adjusted.
# maxExtendedIterations = 1
# minLearningStepsForBestKL = 1744  minLearningSteps = 1836  maxNoLearnings = 91
#
# Frequencies, fia and fijab, are calculated from the effective number of sequences, effectiveNConfigs= 6341.77 .
#
# step	nNonEquil  nExtendedIterations of MC	<KLpi>	<KLpij> over ensemble and 97 minibatch ensembles with pseudocounts= 10.0000
#0	0 0	0.0748038 0.715107	0.00000 0.0641222
264	0 1	0.0747298 0.693828	0.00270842 0.0774763
265	0 1	0.0756427 0.689143	0.00274976 0.0774574
266	0 1	0.0745521 0.695298	0.00272810 0.0772947
267	0 1	0.0802247 0.704563	0.00276218 0.0772812
268	0 1	0.0709723 0.681344	0.00275033 0.0772800
269	0 1	0.0766199 0.699880	0.00276833 0.0772882
270	0 1	0.0776474 0.689073	0.00278186 0.0771985
271	0 1	0.0741690 0.680770	0.00280242 0.0771953
272	0 1	0.0850857 0.712262	0.00283510 0.0771876
273	0 1	0.0741788 0.693568	0.00286993 0.0772252
274	0 1	0.0803916 0.698806	0.00290595 0.0771810
275	0 1	0.0715750 0.670972	0.00290120 0.0770535
276	0 1	0.0750397 0.690165	0.00288577 0.0769648
277	0 1	0.0777411 0.690619	0.00288733 0.0769421
278	0 1	0.0697729 0.678548	0.00290292 0.0768928
279	0 1	0.0721209 0.681153	0.00293423 0.0768947
280	0 1	0.0815176 0.705136	0.00294840 0.0768685
281	0 1	0.0725211 0.686895	0.00295711 0.0768085
282	0 1	0.0778632 0.700977	0.00297125 0.0767767
283	0 1	0.0753096 0.692024	0.00299949 0.0767444
284	0 1	0.0719684 0.679585	0.00301145 0.0766310
285	0 1	0.0762458 0.685720	0.00304238 0.0766867
286	0 1	0.0766497 0.689867	0.00303081 0.0765812
287	0 1	0.0770016 0.694382	0.00303591 0.0765162
288	0 1	0.0780175 0.693358	0.00304630 0.0764430
289	0 1	0.0781643 0.692651	0.00307808 0.0764902
290	0 1	0.0710038 0.678820	0.00309869 0.0764912
291	0 1	0.0742625 0.690561	0.00311850 0.0765696
292	0 1	0.0746743 0.688151	0.00314999 0.0765473
293	0 1	0.0765152 0.695036	0.00315438 0.0765433
294	0 1	0.0724069 0.685567	0.00314907 0.0764731
295	0 1	0.0729255 0.675973	0.00315703 0.0764774
296	0 1	0.0749573 0.691436	0.00313698 0.0763914
297	0 1	0.0775998 0.692220	0.00313176 0.0762815
298	0 1	0.0769377 0.688802	0.00314164 0.0762199
299	0 1	0.0769609 0.689747	0.00317483 0.0762665
300	0 1	0.0709644 0.675132	0.00316648 0.0762636
301	0 1	0.0708596 0.682670	0.00316188 0.0761426
302	0 1	0.0793053 0.699838	0.00320190 0.0761695
303	0 1	0.0818799 0.707275	0.00324286 0.0761827
304	0 1	0.0804186 0.702516	0.00327387 0.0761312
305	0 1	0.0734506 0.679749	0.00327412 0.0761427
306	0 1	0.0796787 0.688675	0.00328177 0.0761118
307	0 1	0.0763913 0.689796	0.00327073 0.0760723
308	0 1	0.0693987 0.670621	0.00329154 0.0760486
309	0 1	0.0733354 0.679665	0.00325694 0.0759298
310	0 1	0.0792134 0.695116	0.00326029 0.0758588
311	0 1	0.0760971 0.686000	0.00328374 0.0758374
312	0 1	0.0698732 0.669651	0.00330730 0.0758598
313	0 1	0.0747210 0.688476	0.00332846 0.0758611
314	0 1	0.0760492 0.682401	0.00336837 0.0759230
315	0 1	0.0835135 0.705002	0.00342315 0.0758721
316	0 1	0.0737292 0.678732	0.00340878 0.0758060
317	0 1	0.0757403 0.681038	0.00343639 0.0758003
318	0 1	0.0709558 0.671205	0.00345125 0.0757872
319	0 1	0.0808867 0.698395	0.00350002 0.0758596
320	0 1	0.0818978 0.698500	0.00351737 0.0757746
321	0 1	0.0782998 0.694975	0.00355379 0.0757969
322	0 1	0.0684894 0.677145	0.00353378 0.0757041
323	0 1	0.0894937 0.722224	0.00353088 0.0756357
324	0 1	0.0772442 0.683496	0.00354372 0.0755286
325	0 1	0.0717726 0.676263	0.00358077 0.0755650
326	0 1	0.0703633 0.675594	0.00356637 0.0755134
327	0 1	0.0758257 0.689037	0.00356152 0.0754310
328	0 1	0.0740388 0.686091	0.00355849 0.0753956
329	0 1	0.0797493 0.699738	0.00358083 0.0753937
330	0 1	0.0708995 0.673179	0.00355271 0.0752542
331	0 1	0.0747602 0.686669	0.00355611 0.0752439
332	0 1	0.0841147 0.705673	0.00353677 0.0750866
333	0 1	0.0759051 0.681142	0.00350528 0.0749928
334	0 1	0.0774365 0.684173	0.00351125 0.0750089
335	0 1	0.0744500 0.680407	0.00351099 0.0749869
336	0 1	0.0734749 0.677858	0.00352995 0.0749195
337	0 1	0.0738793 0.683218	0.00354589 0.0749733
338	0 1	0.0723937 0.679197	0.00354849 0.0749789
339	0 1	0.0677100 0.662247	0.00354579 0.0749360
340	0 1	0.0806771 0.702077	0.00352785 0.0748689
341	0 1	0.0757397 0.686630	0.00347423 0.0746302
342	0 1	0.0734568 0.673797	0.00348670 0.0746251
343	0 1	0.0756991 0.686150	0.00345688 0.0745256
344	0 1	0.0770468 0.686269	0.00349360 0.0745067
345	0 1	0.0715426 0.677631	0.00353295 0.0745530
346	0 1	0.0741039 0.681261	0.00353438 0.0744605
347	0 1	0.0806834 0.692548	0.00353730 0.0744088
348	0 1	0.0810862 0.697456	0.00358852 0.0744916
349	0 1	0.0721726 0.677110	0.00360791 0.0745255
350	0 1	0.0802109 0.702680	0.00361762 0.0744683
351	0 1	0.0816873 0.692237	0.00367514 0.0745012
352	0 1	0.0756319 0.685648	0.00366269 0.0744120
353	0 1	0.0782378 0.689758	0.00365188 0.0742808
354	0 1	0.0711536 0.677144	0.00362378 0.0741488
355	0 1	0.0839829 0.708744	0.00366454 0.0741920
356	0 1	0.0660381 0.660961	0.00364450 0.0740796
357	0 1	0.0694061 0.668686	0.00365660 0.0741291
358	0 1	0.0788002 0.696735	0.00371310 0.0741719
359	0 1	0.0777511 0.684789	0.00375574 0.0742009
360	0 1	0.0809219 0.701645	0.00380457 0.0742017
361	0 1	0.0760072 0.687984	0.00380353 0.0741606
362	0 1	0.0794954 0.692911	0.00378431 0.0740555
363	0 1	0.0745432 0.683094	0.00383247 0.0740876
364	0 1	0.0835163 0.701909	0.00384269 0.0740526
365	0 1	0.0725303 0.673369	0.00385094 0.0739595
366	0 1	0.0741417 0.686465	0.00383067 0.0738254
367	0 1	0.0769820 0.687433	0.00380889 0.0737428
368	0 1	0.0706215 0.677752	0.00381004 0.0736026
369	0 1	0.0712852 0.677702	0.00374771 0.0734855
370	0 1	0.0748883 0.683764	0.00372839 0.0733510
371	0 1	0.0746323 0.672592	0.00367063 0.0732233
372	0 1	0.0694330 0.669246	0.00362854 0.0730339
373	0 1	0.0715620 0.671430	0.00362639 0.0730065
374	0 1	0.0791150 0.689792	0.00363688 0.0730450
375	0 1	0.0682250 0.665221	0.00361539 0.0729773
376	0 1	0.0718953 0.674700	0.00359091 0.0729203
377	0 1	0.0722620 0.674669	0.00358260 0.0729188
378	0 1	0.0703412 0.671290	0.00356841 0.0729068
379	0 1	0.0748668 0.672432	0.00355882 0.0728119
380	0 1	0.0728937 0.679813	0.00353006 0.0726980
381	0 1	0.0704404 0.662978	0.00352422 0.0727678
382	0 1	0.0779112 0.684313	0.00351814 0.0726548
383	0 1	0.0745373 0.680061	0.00347162 0.0726013
384	0 1	0.0789585 0.692332	0.00345770 0.0725289
385	0 1	0.0790240 0.689041	0.00345962 0.0724327
386	0 1	0.0736949 0.679597	0.00342435 0.0723215
387	0 1	0.0738145 0.678085	0.00344181 0.0723396
388	0 1	0.0725614 0.680621	0.00346187 0.0723564
389	0 1	0.0748923 0.677157	0.00348734 0.0723713
390	0 1	0.0772975 0.681229	0.00351777 0.0723414
391	0 1	0.0716375 0.671266	0.00355421 0.0723822
392	0 1	0.0744274 0.679737	0.00358171 0.0723824
