Warning: Only java properties are supported in JAVA_OPTS and JDK_JAVA_OPTIONS environment variables. Other options are ignored: -Xmx16g, -Xss1g, -Xmx16g, -Xss1g
[90mCompiling project (Scala 3.6.4, JVM (17))[0m
[90mCompiled project (Scala 3.6.4, JVM (17))[0m
NOTE: Picked up JDK_JAVA_OPTIONS: -Xmx16g -Xss1g -Djava.library.path=/usr/local/scala/javalib
# ./RunBM.scala . ./PiaPijab.out.gz ./representativeMSA.fasta.gz
# seed for scala.util.Random = 19
# seed for org.sanzo.potts.SetSeedForRand.randBasis = 0
trying to return java 16 instance
Mar 29, 2025 4:35:19 PM dev.ludovic.netlib.blas.InstanceBuilder initializeJava
WARNING: Failed to load implementation from:dev.ludovic.netlib.blas.VectorBLAS
return java 11 instance
ModAdam: step= 51  51  sqrt(max_i v^_i)=   0.199692  sqrt(sum_i v^_i)=   2.801965  ratio= 0.071269  learning rate for ModAdam= 0.015323  learning rate= 0.003060
ModAdam: step= 51  51  sqrt(max_i m^_i^2)= 0.194296  sqrt(sum_i m^_i^2)= 1.416616  ratio= 0.137155  learning rate for ModAdam= 0.015323  learning rate= 0.003060
ModAdam: step= 52  52  sqrt(max_i v^_i)=   0.199086  sqrt(sum_i v^_i)=   2.801846  ratio= 0.071055  learning rate for ModAdam= 0.015672  learning rate= 0.003120
ModAdam: step= 52  52  sqrt(max_i m^_i^2)= 0.191475  sqrt(sum_i m^_i^2)= 1.413867  ratio= 0.135426  learning rate for ModAdam= 0.015672  learning rate= 0.003120
ModAdam: step= 53  53  sqrt(max_i v^_i)=   0.199023  sqrt(sum_i v^_i)=   2.801469  ratio= 0.071042  learning rate for ModAdam= 0.015978  learning rate= 0.003180
ModAdam: step= 53  53  sqrt(max_i m^_i^2)= 0.191908  sqrt(sum_i m^_i^2)= 1.414046  ratio= 0.135715  learning rate for ModAdam= 0.015978  learning rate= 0.003180
ModAdam: step= 54  54  sqrt(max_i v^_i)=   0.198899  sqrt(sum_i v^_i)=   2.801272  ratio= 0.071003  learning rate for ModAdam= 0.016290  learning rate= 0.003240
ModAdam: step= 54  54  sqrt(max_i m^_i^2)= 0.191956  sqrt(sum_i m^_i^2)= 1.413619  ratio= 0.135790  learning rate for ModAdam= 0.016290  learning rate= 0.003240
ModAdam: step= 55  55  sqrt(max_i v^_i)=   0.198378  sqrt(sum_i v^_i)=   2.799806  ratio= 0.070854  learning rate for ModAdam= 0.016635  learning rate= 0.003300
ModAdam: step= 55  55  sqrt(max_i m^_i^2)= 0.189629  sqrt(sum_i m^_i^2)= 1.405691  ratio= 0.134901  learning rate for ModAdam= 0.016635  learning rate= 0.003300
ModAdam: step= 56  56  sqrt(max_i v^_i)=   0.197731  sqrt(sum_i v^_i)=   2.799556  ratio= 0.070630  learning rate for ModAdam= 0.016993  learning rate= 0.003360
