# GL1L2  propL1h= 0.00000 propL1J= 1.00000  lambdaPhi= 0.000500000  lambdaPhij= 0.00200000  ungauged  ModAdam  learningRate= 0.00600000  betaV= 0.999000  betaM= 0.900000  eps= 1.00000e-06  batchSize=7007  miniBatchSize= 103  stepsPerEpoch= 68.0000
# learningRate.coolingMethod= (1+at)^b  stepsPerEpoch= 1.000000  warmupEpochs= 100.000000  maxLR= 0.00600000  maxLREpochs= 1736.00  constPerEpoch= 0.0100000  power= -0.500000
# initial_h: to reproduce observed amino acid frequencies at each site; pseudoNCountsForhia= 10.0
# sigma_initial_J for Gaussian: 0.001
# MCMC Kernel: GibbsWithMHStep  with pseudoNCountsForProposedPia= 10.0
# nIndependentMC= 7007  miniBatchSize= 103  for MCMC 
# initial configuration: observed sequence data
# nSamples for each MC run: 1
# nUnits= 48  nInitialIterationsPerUnit= 0  everyNIterationsPerUnit= 10
# initialT= 1.00000  finalT= 1.00000  annealingRate= 0.990000 ; annealingRate may be adjusted.
# maxExtendedIterations= 1
# minLearningStepsForBestKL= 3876  minLearningSteps= 1836  maxNoLearnings= 204
#
# Frequencies, fia and fijab, are calculated from the effective number of sequences, effectiveNConfigs= 6341.77 ,
# with the corrections, pseudoNCountsForBM= 0.0 , to avoid 0-counts.
#
# step	nNonEquil  nExtendedIterations of MC	<KLpi>	<KLpij> over ensemble and those over 97 minibatch ensembles with pseudoNCountsForKL= 1.00000
#0	0 0	0.0975072 1.19667	0.00000 0.0648353
141	0 1	0.0912401 1.14380	0.00110013 0.0926745
142	0 1	0.0977019 1.16159	0.00109207 0.0926480
143	0 1	0.0966079 1.16195	0.00109164 0.0924898
144	0 1	0.104692 1.16511	0.00110616 0.0924950
145	0 1	0.103049 1.17121	0.00108666 0.0924227
146	0 1	0.104014 1.15100	0.00108760 0.0923163
147	0 1	0.101157 1.17912	0.00109336 0.0922911
148	0 1	0.102417 1.16194	0.00108653 0.0921864
149	0 1	0.0979669 1.17070	0.00107083 0.0920211
150	0 1	0.0918719 1.14175	0.00106877 0.0919671
151	0 1	0.101549 1.17950	0.00107369 0.0919777
152	0 1	0.102845 1.15177	0.00106139 0.0918795
153	0 1	0.0942220 1.14483	0.00104603 0.0917726
154	0 1	0.107957 1.18028	0.00104686 0.0917161
155	0 1	0.0949611 1.14660	0.00104427 0.0915965
156	0 1	0.0956154 1.15453	0.00105772 0.0916116
157	0 1	0.101348 1.15148	0.00106098 0.0915486
158	0 1	0.110161 1.16524	0.00106936 0.0914780
159	0 1	0.109163 1.18891	0.00106830 0.0914180
160	0 1	0.103051 1.16976	0.00107760 0.0913772
161	0 1	0.106285 1.15463	0.00110449 0.0914951
162	0 1	0.104271 1.16478	0.00111265 0.0915469
163	0 1	0.0943110 1.15126	0.00111812 0.0915198
164	0 1	0.114957 1.19966	0.00112803 0.0914945
165	0 1	0.0995081 1.15753	0.00113082 0.0914421
166	0 1	0.100758 1.16428	0.00112756 0.0914346
167	0 1	0.102975 1.16145	0.00110827 0.0912520
168	0 1	0.0979770 1.16328	0.00109875 0.0911009
169	0 1	0.0941918 1.15742	0.00109166 0.0910286
170	0 1	0.103479 1.16742	0.00109846 0.0909478
171	0 1	0.0995592 1.16744	0.00111856 0.0908578
172	0 1	0.0971067 1.14368	0.00113404 0.0908500
173	0 1	0.103161 1.17432	0.00115210 0.0907922
174	0 1	0.109170 1.18517	0.00115349 0.0908069
175	0 1	0.105949 1.16141	0.00115265 0.0907443
176	0 1	0.0970062 1.16148	0.00114718 0.0906184
177	0 1	0.120086 1.17449	0.00117269 0.0905923
178	0 1	0.110519 1.20376	0.00117219 0.0904568
179	0 1	0.100597 1.16264	0.00117855 0.0903496
180	0 1	0.105829 1.15353	0.00119621 0.0903848
181	0 1	0.0991112 1.14867	0.00119048 0.0903660
182	0 1	0.104482 1.18139	0.00120419 0.0903738
183	0 1	0.108376 1.18756	0.00120920 0.0902502
184	0 1	0.107303 1.16940	0.00124202 0.0902267
185	0 1	0.109651 1.16977	0.00125547 0.0901240
186	0 1	0.103660 1.16629	0.00127540 0.0901541
187	0 1	0.102928 1.15489	0.00129883 0.0901441
188	0 1	0.101182 1.15993	0.00130893 0.0900211
189	0 1	0.0924784 1.13808	0.00132187 0.0899819
190	0 1	0.0923148 1.14910	0.00131667 0.0897915
191	0 1	0.110466 1.17024	0.00134820 0.0896620
192	0 1	0.105131 1.15877	0.00136884 0.0896375
193	0 1	0.0940414 1.14297	0.00139134 0.0895477
194	0 1	0.0885356 1.14012	0.00141590 0.0895655
195	0 1	0.101662 1.17505	0.00144345 0.0896219
196	0 1	0.100987 1.16795	0.00146133 0.0896269
